Ngày,Lần cuối,Mở,Cao,Thấp,KL,% Thay đổi
28/04/2023,15550,15550,15700,15500,1.44M,0.65%
27/04/2023,15450,15450,15800,15350,2.55M,0.65%
26/04/2023,15350,15100,15350,15000,1.12M,1.66%
25/04/2023,15100,15350,15500,15050,1.30M,-1.31%
24/04/2023,15300,15150,15300,14950,758.10K,1.32%
21/04/2023,15100,15100,15350,15100,1.20M,-0.33%
20/04/2023,15150,14850,15300,14850,1.20M,0.66%
19/04/2023,15050,15600,15650,15000,1.69M,-2.90%
18/04/2023,15500,15500,15600,15300,1.66M,0.65%
17/04/2023,15400,15300,15500,15200,1.38M,0.65%
14/04/2023,15300,16000,16050,15300,4.57M,-4.08%
13/04/2023,15950,16400,16450,15950,2.23M,-2.45%
12/04/2023,16350,16550,16800,16300,4.96M,0.62%
11/04/2023,16250,15900,16250,15700,2.59M,2.20%
10/04/2023,15900,16100,16300,15900,3.13M,0.00%
07/04/2023,15900,15700,15900,15500,2.32M,1.92%
06/04/2023,15600,16300,16400,15600,4.86M,-3.70%
05/04/2023,16200,15900,16350,15800,3.49M,1.57%
04/04/2023,15950,15900,15950,15700,2.98M,0.00%
03/04/2023,15950,15750,15950,15600,3.79M,2.90%
31/03/2023,15500,14700,15500,14650,5.44M,5.44%
30/03/2023,14700,15000,15000,14700,1.53M,-0.34%
29/03/2023,14750,14800,14850,14600,1.24M,-0.34%
28/03/2023,14800,15050,15150,14800,2.68M,-0.67%
27/03/2023,14900,14900,15000,14800,1.53M,0.68%
24/03/2023,14800,14650,15050,14600,2.47M,2.07%
23/03/2023,14500,14300,14550,14300,835.20K,0.00%
22/03/2023,14500,14550,14650,14450,1.13M,0.35%
21/03/2023,14450,14400,14550,14100,1.12M,0.70%
20/03/2023,14350,14800,14900,14250,1.91M,-3.69%
17/03/2023,14900,15000,15100,14800,1.29M,0.34%
16/03/2023,14850,15000,15100,14650,1.71M,-2.30%
15/03/2023,15200,14700,15200,14550,2.07M,6.29%
14/03/2023,14300,14950,15000,14300,2.16M,-4.35%
13/03/2023,14950,14800,15050,14750,2.60M,-0.33%
10/03/2023,15000,15000,15300,14900,2.68M,-0.99%
09/03/2023,15150,14550,15300,14550,3.77M,4.48%
08/03/2023,14500,14250,14500,14150,1.54M,0.69%
07/03/2023,14400,14250,14450,14250,560.40K,1.41%
06/03/2023,14200,14500,14650,14200,931.10K,0.71%
03/03/2023,14100,14400,14550,14100,1.05M,-1.05%
02/03/2023,14250,14450,14650,14250,969.30K,-1.04%
01/03/2023,14400,14000,14400,13900,980.80K,3.23%
28/02/2023,13950,14100,14300,13850,898.90K,0.00%
27/02/2023,13950,14250,14300,13950,1.28M,-2.45%
24/02/2023,14300,14800,14800,14300,956.30K,-3.38%
23/02/2023,14800,14550,14800,14200,2.49M,1.72%
22/02/2023,14550,15200,15250,14550,2.36M,-5.21%
21/02/2023,15350,15500,15750,15350,1.98M,-0.65%
20/02/2023,15450,14850,15450,14750,2.36M,5.10%
17/02/2023,14700,14750,15000,14600,1.15M,-0.34%
16/02/2023,14750,14750,14800,14500,1.17M,1.72%
15/02/2023,14500,14200,14650,14050,1.37M,2.47%
14/02/2023,14150,14200,14300,13950,1.16M,1.07%
13/02/2023,14000,14550,14650,13800,2.73M,-4.44%
10/02/2023,14650,15000,15000,14600,1.43M,-2.01%
09/02/2023,14950,14800,15200,14800,1.33M,1.36%
08/02/2023,14750,15000,15300,14550,1.59M,-0.34%
07/02/2023,14800,15750,15750,14800,2.47M,-5.13%
06/02/2023,15600,15350,15600,15200,1.20M,1.30%
03/02/2023,15400,15250,15500,15050,1.56M,0.98%
02/02/2023,15250,15700,15700,15000,2.19M,-1.93%
01/02/2023,15550,16900,16900,15550,2.98M,-6.89%
31/01/2023,16700,16000,16800,15900,3.56M,1.21%
30/01/2023,16500,17200,17200,16500,3.34M,-2.08%
27/01/2023,16850,16800,17050,16450,2.61M,3.37%
19/01/2023,16300,16050,16300,15900,2.76M,1.88%
18/01/2023,16000,15850,16050,15550,2.82M,1.59%
