Ngày,Lần cuối,Mở,Cao,Thấp,KL,% Thay đổi
28/04/2023,15500,15500,15600,15250,8.18M,1.31%
27/04/2023,15300,15750,15800,15250,10.65M,-2.55%
26/04/2023,15700,14950,15700,14800,13.61M,5.02%
25/04/2023,14950,14700,15200,14700,6.78M,2.40%
24/04/2023,14600,14900,15050,14400,8.29M,-2.34%
21/04/2023,14950,15400,15400,14750,8.65M,-2.29%
20/04/2023,15300,15300,15500,15250,3.33M,0.00%
19/04/2023,15300,15750,15800,15300,5.74M,-2.55%
18/04/2023,15700,15700,15800,15600,6.04M,0.64%
17/04/2023,15600,15350,15750,15350,5.01M,1.63%
14/04/2023,15350,15300,15650,15200,10.68M,1.66%
13/04/2023,15100,15600,15700,15000,12.67M,-2.89%
12/04/2023,15550,15800,15950,15550,8.42M,-1.58%
11/04/2023,15800,15500,15900,15450,9.98M,1.28%
10/04/2023,15600,16200,16350,15600,22.75M,-3.70%
07/04/2023,16200,16400,16550,15950,14.89M,-1.22%
06/04/2023,16400,16800,17100,16400,21.57M,-1.80%
05/04/2023,16700,16400,16750,16300,15.56M,1.52%
04/04/2023,16450,16300,16500,16200,14.29M,1.54%
03/04/2023,16200,16350,16400,16050,12.70M,0.62%
31/03/2023,16100,16250,16400,15600,25.69M,-0.92%
30/03/2023,16250,16800,16900,16200,18.94M,-1.81%
29/03/2023,16550,16250,16850,16200,21.32M,1.85%
28/03/2023,16250,16500,16600,16250,10.53M,-0.61%
27/03/2023,16350,16000,16500,15800,18.24M,2.83%
24/03/2023,15900,16100,16200,15900,9.37M,-0.63%
23/03/2023,16000,15600,16150,15600,8.35M,0.95%
22/03/2023,15850,16300,16300,15850,8.71M,-1.55%
21/03/2023,16100,15900,16200,15600,8.97M,2.55%
20/03/2023,15700,16100,16350,15700,13.76M,-3.09%
17/03/2023,16200,16350,16450,16050,15.71M,0.62%
16/03/2023,16100,16300,16500,16000,15.62M,-2.72%
15/03/2023,16550,16000,16550,15850,18.76M,6.43%
14/03/2023,15550,16200,16200,15350,25.16M,-4.01%
13/03/2023,16200,16150,16600,15900,19.94M,-1.22%
10/03/2023,16400,16000,16450,15800,25.60M,0.92%
09/03/2023,16250,16300,16700,16250,27.86M,0.00%
08/03/2023,16250,15950,16250,15900,18.07M,0.93%
07/03/2023,16100,15500,16300,15500,24.69M,4.89%
06/03/2023,15350,15800,15950,15100,11.26M,0.33%
03/03/2023,15300,15700,16150,15300,25.03M,-1.29%
02/03/2023,15500,15600,15850,15350,12.09M,-0.32%
01/03/2023,15550,14550,15550,14350,17.92M,6.87%
28/02/2023,14550,14800,14900,14300,9.11M,1.04%
27/02/2023,14400,14800,15000,14400,20.53M,-5.26%
24/02/2023,15200,15800,15950,15000,13.66M,-3.80%
23/02/2023,15800,15150,15800,14500,23.89M,5.33%
22/02/2023,15000,15500,16400,15000,36.71M,-5.06%
21/02/2023,15800,16500,16500,15800,21.77M,-2.47%
20/02/2023,16200,15550,16200,15550,21.42M,4.52%
17/02/2023,15500,15850,15950,15350,16.61M,-2.21%
16/02/2023,15850,15300,15900,15000,31.95M,4.97%
